CancerType	CD4+ T 	CD8+ T 	B Cell	Neutrophil	mDC	Th1	Th2	Tregs	NK 	Macrophage M1	Macrophage M2	Macrophage	MDSC
READ	-0.03550243	-0.03550243	-0.084679751	0.013055115	0.026716613	0.144057091	0.131127893	0.008197158	0.139328294	-0.271283437	0.056064692	-0.033346232	-0.077230123
SARC	-0.138072015	-0.138072015	0.113053347	-0.030848642	-0.188381045	-0.165838657	0.156710767	0.146505687	-0.219165355	-0.189538122	-0.110942884	0.201134049	0.026941366
SKCM	0.041712932	0.041712932	-0.089744146	0.083838775	0.14463529	0.010964153	0.085588098	0.057813228	0.068885577	-0.015354071	0.106744489	0.045101437	-0.014871311
STAD	0.049998335	0.049998335	0.008359463	0.123333592	0.083840803	0.178443655	0.101458965	0.101682711	0.116087741	-0.047460115	0.18591761	0.125895075	0.136887438
TGCT	-0.080847645	-0.080847645	-0.048272832	0.20835268	0.076228528	-0.03648071	-0.141486374	0.221256987	0.108104762	-0.112657778	0.139760712	0.170146498	-0.086011064
THCA	-0.112682936	-0.112682936	-0.083690658	0.375583923	0.274110815	-0.072749194	0.222139362	0.186186604	0.089094288	-0.063578321	0.234576105	2.13E-01	-0.024322231
THYM	-0.532316024	-0.532316024	-0.387725977	-0.436645898	-0.433542804	-0.240381636	-0.495935785	-0.207684757	0.418585734	0.260554133	0.06008268	0.371329546	0.221130071
UCEC	0.254139407	0.254139407	0.061186139	0.027782509	0.045628882	-0.140480622	-0.007140829	0.264694361	-0.010500313	0.18439112	0.073813287	0.013573369	-0.136089759
UCS	0.262893906	0.262893906	0.149735723	-0.086370005	0.03828262	-0.183406722	-0.052356489	0.040885405	-0.186132013	-0.007466039	-0.050901462	-0.20142068	0.043894185
UVM	0.089956158	0.089956158	-0.055776641	-0.05868304	-0.175280267	0.136804662	0.303222039	0.323091155	0.179095085	-0.170855197	-0.022609346	0.127341036	-0.038154436
