CancerType	CD4+ T 	CD8+ T 	B Cell	Neutrophil	mDC	Th1	Th2	Tregs	NK 	Macrophage M1	Macrophage M2	Macrophage	MDSC
PRAD	1.05E-08	7.06E-11	0.000773561	3.61E-14	8.93E-07	2.25E-12	8.93E-08	0.102242516	0.102242516	4.84E-10	2.42E-11	1.94E-28	4.00E-06
READ	0.991428375	0.000781626	0.001763937	0.28545835	0.072821346	4.70E-06	0.019774262	0.006140704	0.006140704	0.079066013	0.014639052	0.020101186	0.002527373
SARC	0.352725291	0.102069351	0.003868368	0.122577339	0.003338761	0.339759327	0.000587714	0.002339239	0.002339239	0.000538477	0.008799141	0.25050021	0.55996915
SKCM	0.078417649	0.000295541	0.007558606	1.77E-06	0.003633855	0.005164515	0.011638687	3.82E-06	3.82E-06	2.29E-11	7.43E-14	0.044658322	0.932805441
STAD	0.005085119	5.40E-05	1.72E-05	0.023982406	0.001872411	0.006821947	0.514031332	0.000702673	0.000702673	7.79E-05	0.005703817	0.07702941	0.007480997
TGCT	0.000159829	0.726544034	0.330396578	0.000455784	0.018899958	0.001537944	3.74E-06	1.03E-05	1.03E-05	0.010973882	2.12E-08	0.070818264	0.000986679
THCA	4.08E-31	0.354379369	2.07E-22	9.07E-36	1.54E-35	7.47E-06	0.016439842	2.21E-14	2.21E-14	2.21E-09	3.33E-36	3.27E-13	0.216570808
THYM	2.14E-11	0.031565277	0.009943004	0.081447523	1.16E-10	3.62E-19	1.65E-10	0.003127274	0.003127274	1.66E-08	7.21E-08	0.001314061	0.19407203
UCEC	0.555532698	0.001032917	0.075043297	5.23E-05	2.20E-05	1.70E-11	0.698773628	0.930453732	0.930453732	0.789173696	0.070525869	0.280011764	0.25253542
UCS	0.820190636	0.522696967	0.121810496	0.983550958	0.210805482	0.005486926	0.117008123	0.737938317	0.737938317	0.505934811	0.288656297	0.262711458	0.009544288
UVM	0.862520171	0.273926186	0.463453406	0.012018281	0.928960918	0.000482033	0.075404737	0.001118823	0.001118823	0.060344454	0.006574954	0.16925742	0.75294846
